User,Transaction,Tag
User10,ME DC SI/1MG /202300192988/595790/BANGALORE,Medical
User3,MPS/AMAZON /202357956730/802118/BANGALORE,Shopping
User6,BIL XXXXXXXXXXXXXX RAVI MEDICINE /202309388865/238317/BANGALORE,Medical
User6,POS XXXXXXXXXXXXXXX COLUMBIA ASIA /202370648016/582573/BANGALORE,Medical
User9,MPS/MEGHNA FOODS /202369913519/574763/BANGALORE,Food
User18,ME DC SI XXXXXXXXXXXX TRIVAGO /202393885267/409603/BANGALORE,Travel
User2,POS/MCDONALDS /202325434253/935611/BANGALORE,Food
User6,POS/VODAFONE RED /202364260164/375565/BANGALORE,Subscription
User19,POS XXXXXXXXXXXX FLIPKART /202349330193/918999/BANGALORE,Shopping
User19,BIL XXXXXXXXXX 1MG /202342678454/349770/BANGALORE,Medical
User15,MPS/PANTALOONS /202369234762/520603/BANGALORE,Shopping
User11,BIL/RAVI MEDICINE /202358833934/305738/BANGALORE,Medical
User20,BIL/TRUFFLES /202372850954/907287/BANGALORE,Food
User15,POS/FABINDIA /202319113862/811834/BANGALORE,Shopping
User7,BIL XXXXXXXXXXXX MEGHNA FOODS /202345689126/283457/BANGALORE,Food
User5,MPS XXXXXXXXXXXX TANISHQ /202323038218/258994/BANGALORE,Shopping
User20,BIL/ESHA SWEETS /202330325956/953890/BANGALORE,Food
User3,ME DC SI XXXXXXXXXXXX DISNEY+ HOTSTAR /202371774744/781060/BANGALORE,Subscription
User8,BIL/AMAZON /202371417772/368064/BANGALORE,Shopping
User8,BIL/FABINDIA /202357900926/268706/BANGALORE,Shopping
User16,MPS/MEDPLUS /202378284113/575733/BANGALORE,Medical
User5,POS XXXXXXXXXXXXXX KANTI SWEETS /202327742764/961261/BANGALORE,Food
User3,BIL XXXXXXXXXXXX KARIM’S /202322572971/172988/BANGALORE,Food
User5,ME DC SI/PRIME VIDEO /202312365932/793944/BANGALORE,Subscription
User13,BIL XXXXXXXXXX YATRA /202315143951/862388/BANGALORE,Travel
